SVC,Placa
SSP8,TAS1J11
SSP27,TAS1J12
SSP18,TAS2E38
SSP25,TAS2F21
SSP18,TAS2F38
SSP25,TAS2F41
SSP25,TAS2F42
SSP18,TAS2F81
SSP18,TAS8D63
SSP8,TAS9B86
SSP8,TAS9B87
SSP8,TAS9B88
SSP8,TAS9B92
SSP8,TAS9B93
SSP36,TAS9D45
SSP36,TAS9D47
SSP18,TAS9D48
SSP18,TAS9D55
SSP18,TAS9D57
SSP18,TAS9D64
SSP18,TAS9D66
SSP36,TAS9D70
SSP18,TAS9D72
SSP18,TAS9D75
SSP36,TAS9D80
SSP36,TAS9D81
SSP36,TAS9D90
SSP36,TAS9D92
SSP18,TAS9D94
SSP8,TAS9F68
SSP27,TAT0B65
SSP18,TAT0C30
SSP18,TAT0D66
SSP8,TAT0E37
SSP27,TAT1A51
SSP27,TAT1A53
SSP27,TAT1A63
SSP18,TAT1A74
SSP36,TAT1A78
SSP27,TAT1A81
SSP18,TAT1A85
SSP36,TAT1A92
SSP36,TAT1A93
SSP27,TAT1A94
SSP39,TAU2B93
SSP39,TAU2C08
SSP39,TAU2C09
SSP39,TAU2C10
SSP20,TAU2C14
SSP20,TAU2C16
SSP20,TAU2C18
SSP20,TAU2C21
SSP20,TAU2F67
SSP39,TAU2F71
SSP39,TAU2F78
SSP39,TAU2F79
SSP39,TAU2F86
SSP39,TAU3H08
SSP25,TBA6G45
SSP25,TAO1A56
SSP23,TCU1B20
SSP23,TCW4C27
SSP23,TCW4C34
SSP7,TCZ3F16
SSP7,TCZ3F21
SSP7,TCZ3F31
SSP23,TDB8H09
SSP23,TDB8H10
SSP23,TDB8H29
SSP39,TAU2F82
